expectations,expectations_category,mayNot_be_covered,info_area,areas_mayNot_be_covered,improvements,areas_of_improvement
"Understand curriculum content, tools to develop training materials, marketing tips",Program Understanding and Development,Yes,"Marketing tips for the training, including support",Marketing and Outreach,Include some stretching exercises,Participant Engagement
To be able to prepare correct content and become an effective trainer,Networking and Professional Development,No,,,Include more participative training,Participant Engagement
Gain the skills to enable me train the learners digital skills,Skill Acquisition and Application,No,,,For the first day the training was perfect,Others
To have a clear content on the program,Program Understanding and Development,No,,,Time management,Time Management
Digital training implementation and marketing,Training Implementation and Delivery,Yes,How to market the program and onboarding of learners,Marketing and Outreach,Meeting objectives,Curriculumn
I have high expectations,Expectations and Overall Program Goals,No,,,Everything os perfect for now,Others
"To equip myself with more training skills, learn from the moderators ",Skill Acquisition and Application,Yes,"Provision of Curriculum,",Curriculum Development,More physical consortiums,Others
By the end of the training i expect to be impacted with skills to train and mentor the target and be armed with enough resources to discharge the same.,Networking and Professional Development,Yes,Target audience and various methods of reaching them,Marketing and Outreach,Provifing enough materials for refference throught the training,Logistics and planning
Getting required knowledge to help me equip learners with various forms of digital skills,Skill Acquisition and Application,No,,,More facilitator - trainer interactions through questions and scenarios,Participant Engagement
Excellent Training,Networking and Professional Development,No,,,More research on training materials programs,Curriculumn
Training of Trainers,Networking and Professional Development,No,,,Time management.,Time Management
Digital skills,Networking and Professional Development,Yes,AI; Cyber Security; Access to Govt services,Specialized Areas of Interest,Reduce theoretical classes,Curriculumn
To come up with a clear content and have better ways to deliver the program,Program Understanding and Development,No,,,Time management and also introduce some Energizer to keep the trainers active,Time Management
To acquire methodology on delivering Digital skill content,Expectations and Overall Program Goals,No,,,Increase refreshers in the training,Others
To know better on digital program,Expectations and Overall Program Goals,Yes,"How to achieve the 10,000 in 2 months",Marketing and Outreach,Its only day one,Others
To learn and understand on the best training methodologies and practices for the different population demographics and acquire more knowledge in the dynamic IT sector,Expectations and Overall Program Goals,Yes,"Artificial intelligence, block chain and cryptocurrencies",Specialized Areas of Interest,Slightly reduce the pace of presentations,Curriculumn
"Quality content delivery, excellent communication skills to everyone during training, best student assessment skills in the learning areas, practical based training.",Expectations and Overall Program Goals,No,,,The practicability aspect of the training which I believe will be covered in the coming days.,Curriculumn
Learn how to apply different assessment techniques to disseminate the digital programs,Training Implementation and Delivery,No,,,Groups to understand more,Participant Engagement
To be a competent TOT,Networking and Professional Development,No,,,Distribution of presentations used during the training,Logistics and planning
Toe get clear objectives of the digital skills training,Program Understanding and Development,Yes,"Sensitisation plan, what role will icta play",Marketing and Outreach,So far so good but more regular training owe to the undertaken,Others
To be well equiped with delivery skills to better roll digital literacy skills training.,Networking and Professional Development,No,,,Issuance of soft copy of the presentations,Logistics and planning
"Curriculum content, delivery and assessment, learn new skills in e learning",Program Understanding and Development,No,,,Certification on this program,Others
Learning creative ways to Carry out the trainings,Training Implementation and Delivery,No,,,,
Be an effective Trainer,Networking and Professional Development,Yes,Data management,Specialized Areas of Interest,So far so good,Others
"Understand how to develop lesson plan, instructor guide",Program Understanding and Development,Yes,Understand the curriculum for all levels,Curriculum Development,More time is needed,Others
